ReviewText,predicted_sentiment,confidence_score
fantastic. wonderful experience.,Positive,0.9848031997680664
broke easily. awful.,Negative,0.9311348795890808
met expectations. five stars.,Positive,0.8826636672019958
very satisfied. wonderful experience.,Positive,0.9855280518531799
worst purchase. one star.,Negative,0.9364019632339478
some pros and cons. works perfectly.,Positive,0.5933696031570435
highly recommend. amazing features.,Positive,0.9772198796272278
waste of money. poor quality.,Negative,0.9281527400016785
love this product. highly recommend. nothing special.,Positive,0.9810056686401367
poor quality. worst purchase.,Negative,0.9309725165367126
awful. customer service was bad. some pros and cons.,Negative,0.9469636082649231
fantastic. best purchase ever.,Positive,0.9825860261917114
wonderful experience. love this product. some pros and cons.,Positive,0.9852693676948547
broke easily. does not work.,Negative,0.8529420495033264
decent for the price. worst purchase.,Negative,0.9242864847183228
awful. one star.,Negative,0.9475889801979065
exceeded expectations. works perfectly.,Positive,0.8897039890289307
best purchase ever. easy to use.,Positive,0.9812871813774109
works as expected. easy to use.,Positive,0.8484674692153931
difficult to use. difficult to use.,Negative,0.8242955207824707
neither good nor bad. very satisfied.,Positive,0.9526671767234802
amazing features. great value.,Positive,0.9792492985725403
exceeded expectations. best purchase ever. some pros and cons.,Positive,0.9820656180381775
would not recommend. bad experience.,Negative,0.91175377368927
it's okay. five stars.,Positive,0.902573823928833
it's okay. five stars.,Positive,0.902573823928833
broke easily. terrible product.,Negative,0.9371665716171265
love this product. works perfectly.,Positive,0.9865072965621948
very satisfied. easy to use.,Positive,0.981262743473053
could be better. excellent quality.,Positive,0.9186102151870728
met expectations. does not work.,Negative,0.8201099038124084
best purchase ever. works perfectly.,Positive,0.9810278415679932
easy to use. excellent quality.,Positive,0.9648914337158203
average product. customer service was bad.,Negative,0.9426034688949585
worst purchase. missing features.,Negative,0.9375503659248352
customer service was bad. one star.,Negative,0.9402266144752502
works as expected. very disappointed.,Negative,0.9217283129692078
awful. would not recommend.,Negative,0.9325792193412781
amazing features. wonderful experience. average product.,Positive,0.9789233803749084
would not recommend. terrible product. decent for the price.,Negative,0.9322259426116943
love this product. five stars.,Positive,0.9834192991256714
exceeded expectations. excellent quality.,Positive,0.9692071676254272
waste of money. one star.,Negative,0.9155554175376892
it's okay. five stars.,Positive,0.902573823928833
very satisfied. works perfectly.,Positive,0.981231153011322
works perfectly. five stars.,Positive,0.9681842923164368
works perfectly. excellent quality.,Positive,0.9782046675682068
very disappointed. difficult to use. average product.,Negative,0.9386876225471497
broke easily. very disappointed.,Negative,0.9115735292434692
wonderful experience. five stars.,Positive,0.9821494221687317
terrible product. awful.,Negative,0.9393274188041687
five stars. excellent quality. neither good nor bad.,Positive,0.9452075958251953
met expectations. very disappointed.,Negative,0.8922191858291626
broke easily. one star.,Neutral,0.612832248210907
highly recommend. very satisfied. nothing special.,Positive,0.9653372764587402
average product. customer service was bad.,Negative,0.9426034688949585
neither good nor bad. best purchase ever.,Positive,0.9772495031356812
best purchase ever. best purchase ever. average product.,Positive,0.9810261130332947
bad experience. difficult to use.,Negative,0.9337193965911865
best purchase ever. works perfectly.,Positive,0.9810278415679932
waste of money. terrible product.,Negative,0.9431846737861633
best purchase ever. great value.,Positive,0.9782811403274536
very disappointed. waste of money.,Negative,0.9317206740379333
love this product. fantastic.,Positive,0.9850625991821289
exceeded expectations. highly recommend.,Positive,0.9764852523803711
broke easily. waste of money.,Negative,0.8564450144767761
one star. bad experience. average product.,Negative,0.9355244040489197
love this product. best purchase ever.,Positive,0.9851873517036438
does not work. missing features.,Negative,0.9010792374610901
awful. would not recommend.,Negative,0.9325792193412781
great value. amazing features.,Positive,0.9781293869018555
average product. fantastic.,Positive,0.917759895324707
easy to use. amazing features. it's okay.,Positive,0.9771356582641602
bad experience. broke easily. nothing special.,Negative,0.912291407585144
amazing features. easy to use.,Positive,0.9849564433097839
works perfectly. five stars.,Positive,0.9681842923164368
neither good nor bad. difficult to use.,Negative,0.8363473415374756
easy to use. best purchase ever.,Positive,0.9830233454704285
five stars. amazing features.,Positive,0.977318286895752
wonderful experience. fantastic. average product.,Positive,0.9803572297096252
decent for the price. fantastic.,Positive,0.9643363952636719
love this product. easy to use.,Positive,0.9854766726493835
works perfectly. wonderful experience.,Positive,0.9859473705291748
neither good nor bad. wonderful experience.,Positive,0.9774036407470703
best purchase ever. highly recommend. some pros and cons.,Positive,0.9797810316085815
customer service was bad. missing features.,Negative,0.9366459846496582
very disappointed. worst purchase. decent for the price.,Negative,0.9293487071990967
works perfectly. highly recommend. some pros and cons.,Positive,0.9468709230422974
difficult to use. missing features.,Negative,0.8791077733039856
waste of money. awful. nothing special.,Negative,0.9292721748352051
one star. one star.,Positive,0.5330096483230591
amazing features. love this product.,Positive,0.9846200942993164
works perfectly. wonderful experience.,Positive,0.9859473705291748
could be better. broke easily.,Negative,0.6526127457618713
love this product. excellent quality.,Positive,0.9832395911216736
missing features. very disappointed.,Negative,0.9157261252403259
missing features. does not work. decent for the price.,Negative,0.903277575969696
very satisfied. works perfectly.,Positive,0.981231153011322
best purchase ever. works perfectly. some pros and cons.,Positive,0.9754301905632019
would not recommend. customer service was bad.,Negative,0.9285643696784973
difficult to use. worst purchase.,Negative,0.9443374276161194
it's okay. waste of money.,Negative,0.7543991804122925
neither good nor bad. waste of money.,Negative,0.8438146710395813
very disappointed. one star.,Negative,0.9213939309120178
broke easily. does not work.,Negative,0.8529420495033264
fantastic. five stars. works as expected.,Positive,0.9851743578910828
awful. terrible product.,Negative,0.9410691857337952
excellent quality. very satisfied.,Positive,0.9782717823982239
amazing features. easy to use. met expectations.,Positive,0.9813843965530396
works perfectly. works perfectly.,Positive,0.9313841462135315
waste of money. waste of money.,Negative,0.9022946357727051
very disappointed. terrible product.,Negative,0.9316170811653137
love this product. best purchase ever.,Positive,0.9851873517036438
very disappointed. awful.,Negative,0.929617166519165
fantastic. love this product.,Positive,0.9838607311248779
fantastic. excellent quality.,Positive,0.9784523844718933
neither good nor bad. one star.,Positive,0.7581068277359009
amazing features. easy to use.,Positive,0.9849564433097839
very disappointed. worst purchase.,Negative,0.9307680726051331
missing features. would not recommend.,Negative,0.8746798038482666
would not recommend. very disappointed.,Negative,0.9058263897895813
missing features. waste of money.,Negative,0.8696599006652832
bad experience. very disappointed.,Negative,0.9233901500701904
very disappointed. very disappointed. nothing special.,Negative,0.9237232804298401
could be better. awful.,Negative,0.8918625116348267
would not recommend. very disappointed.,Negative,0.9058263897895813
could be better. wonderful experience.,Positive,0.978046715259552
very satisfied. highly recommend.,Positive,0.9812191128730774
terrible product. worst purchase.,Negative,0.9346452951431274
love this product. very satisfied.,Positive,0.9856326580047607
one star. poor quality.,Negative,0.9310132265090942
waste of money. missing features.,Negative,0.8866443037986755
it's okay. one star.,Positive,0.7871260046958923
exceeded expectations. amazing features. works as expected.,Positive,0.9818609952926636
met expectations. wonderful experience.,Positive,0.9812639951705933
decent for the price. works perfectly.,Positive,0.9247341156005859
some pros and cons. missing features.,Neutral,0.5861985683441162
terrible product. missing features.,Negative,0.944889485836029
does not work. very disappointed.,Negative,0.921674370765686
it's okay. difficult to use.,Neutral,0.5519737005233765
some pros and cons. great value.,Positive,0.7494954466819763
average product. broke easily.,Negative,0.9048906564712524
would not recommend. bad experience. could be better.,Negative,0.920599639415741
highly recommend. five stars.,Positive,0.9671767354011536
decent for the price. customer service was bad.,Negative,0.9247692823410034
one star. worst purchase.,Negative,0.9376009702682495
awful. one star.,Negative,0.9475889801979065
fantastic. great value.,Positive,0.9789336919784546
missing features. very disappointed. could be better.,Negative,0.9266587495803833
waste of money. worst purchase.,Negative,0.9372063875198364
does not work. awful.,Negative,0.9446153044700623
would not recommend. missing features. some pros and cons.,Negative,0.8732739090919495
met expectations. excellent quality.,Positive,0.9523727893829346
works as expected. amazing features.,Positive,0.9830122590065002
love this product. wonderful experience.,Positive,0.9848904013633728
difficult to use. terrible product.,Negative,0.9456108212471008
bad experience. awful.,Negative,0.932417631149292
does not work. broke easily.,Negative,0.9048422574996948
fantastic. works perfectly. works as expected.,Positive,0.9813003540039062
poor quality. customer service was bad.,Negative,0.9384785890579224
easy to use. works perfectly.,Positive,0.9651274681091309
terrible product. difficult to use.,Negative,0.948040783405304
difficult to use. does not work. could be better.,Negative,0.9370777010917664
terrible product. one star. average product.,Negative,0.9440559148788452
nothing special. waste of money.,Negative,0.823176920413971
difficult to use. waste of money. works as expected.,Negative,0.8854171633720398
excellent quality. love this product.,Positive,0.9832227826118469
easy to use. easy to use. decent for the price.,Positive,0.905808687210083
five stars. works perfectly.,Positive,0.937393307685852
fantastic. exceeded expectations.,Positive,0.9832431674003601
missing features. awful.,Negative,0.9104069471359253
